"","rep","sim","recap","mut","sample","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"340","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_89184_3","2884680626060","76332","89184","3",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,4.6223565096485e-09,176.4117,0.0763,0.7656,1.5743
"341","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_89184_4","2884680626060","76332","89184","4",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,4.6223565096485e-09,176.4117,0.0763,0.7656,1.5743
"342","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_107453_0","2884680626060","901367","107453","0",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,NA,176.4117,0.0763,0.7656,1.5743
"343","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_107453_1","2884680626060","901367","107453","1",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.41592718454982e-09,176.4117,0.0763,0.7656,1.5743
"344","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_107453_2","2884680626060","901367","107453","2",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.41592718454982e-09,176.4117,0.0763,0.7656,1.5743
"345","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_107453_3","2884680626060","901367","107453","3",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.41592718454982e-09,176.4117,0.0763,0.7656,1.5743
"346","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_107453_4","2884680626060","901367","107453","4",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.41592718454982e-09,176.4117,0.0763,0.7656,1.5743
"347","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_188648_0","2884680626060","901367","188648","0",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.74678159638291e-09,176.4117,0.0763,0.7656,1.5743
"348","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_188648_1","2884680626060","901367","188648","1",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,3.77091729363258e-09,176.4117,0.0763,0.7656,1.5743
"349","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_188648_2","2884680626060","901367","188648","2",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,3.77091729363258e-09,176.4117,0.0763,0.7656,1.5743
"350","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_188648_3","2884680626060","901367","188648","3",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,3.77091729363258e-09,176.4117,0.0763,0.7656,1.5743
"351","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_188648_4","2884680626060","901367","188648","4",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,3.77091729363258e-09,176.4117,0.0763,0.7656,1.5743
"352","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_255468_0","2884680626060","901367","255468","0",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.25127762167897e-09,176.4117,0.0763,0.7656,1.5743
"353","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_255468_1","2884680626060","901367","255468","1",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.74678159638291e-09,176.4117,0.0763,0.7656,1.5743
"354","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_255468_2","2884680626060","901367","255468","2",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.74678159638291e-09,176.4117,0.0763,0.7656,1.5743
"355","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_255468_3","2884680626060","901367","255468","3",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.74678159638291e-09,176.4117,0.0763,0.7656,1.5743
"356","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_255468_4","2884680626060","901367","255468","4",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.74678159638291e-09,176.4117,0.0763,0.7656,1.5743
"357","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_606322_0","2884680626060","901367","606322","0",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.41592718454982e-09,176.4117,0.0763,0.7656,1.5743
"358","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_606322_1","2884680626060","901367","606322","1",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.66694582511717e-09,176.4117,0.0763,0.7656,1.5743
"359","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_606322_2","2884680626060","901367","606322","2",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.66694582511717e-09,176.4117,0.0763,0.7656,1.5743
"360","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_606322_3","2884680626060","901367","606322","3",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.66694582511717e-09,176.4117,0.0763,0.7656,1.5743
"361","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_606322_4","2884680626060","901367","606322","4",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.66694582511717e-09,176.4117,0.0763,0.7656,1.5743
"362","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_768833_0","2884680626060","901367","768833","0",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,4.66694582511717e-09,176.4117,0.0763,0.7656,1.5743
"363","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_768833_1","2884680626060","901367","768833","1",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.25127762167897e-09,176.4117,0.0763,0.7656,1.5743
"364","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_768833_2","2884680626060","901367","768833","2",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.25127762167897e-09,176.4117,0.0763,0.7656,1.5743
"365","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_768833_3","2884680626060","901367","768833","3",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.25127762167897e-09,176.4117,0.0763,0.7656,1.5743
"366","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_901367_768833_4","2884680626060","901367","768833","4",410473.604185905,631462.694398434,0.498748622510904,0.460116561432795,28852.2990271913,9745.36268932027,6894.3281558226,12125.7368125908,2.25127762167897e-09,176.4117,0.0763,0.7656,1.5743
"367","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_2966_0","2884680626060","990403","2966","0",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,2.8994217729986e-09,176.4117,0.0763,0.7656,1.5743
"368","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_2966_1","2884680626060","990403","2966","1",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,3.59690016184614e-09,176.4117,0.0763,0.7656,1.5743
"369","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_2966_2","2884680626060","990403","2966","2",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,3.59690016184614e-09,176.4117,0.0763,0.7656,1.5743
"370","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_2966_3","2884680626060","990403","2966","3",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,3.59690016184614e-09,176.4117,0.0763,0.7656,1.5743
"371","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_2966_4","2884680626060","990403","2966","4",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,3.59690016184614e-09,176.4117,0.0763,0.7656,1.5743
"372","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_990403_541394_0","2884680626060","990403","541394","0",389890.981650187,600883.022283362,0.474668826725328,0.481819570581107,42684.2625919573,6603.960613974,5653.97229659865,12111.4413431538,3.59690016184614e-09,176.4117,0.0763,0.7656,1.5743
