"POP_SIZE","DISPERSAL_SIGMA","P_D","YEAR_SHAPE","id","run","slope","slope_patches","init_indivs","init_patches","num_gens","num_individuals","num_juveniles","num_patches","num_hops_mean","num_hops_sd","prop_dispersers","distance_mean","distance_sd","children_mean","children_sd"
208.766297148541,1.30906154038385,0.130168368094019,1.92040867544711,"run000251","sim_runs/run000251/sim_1856810525169.log",1568.84380863039,13.299530956848,20251,331,40,71825,173867,668,1.65208,8.21622,0,0.115601,0.516469,5.02324,4.29353
66.589174112305,1.87051519723609,0.218732440491294,1.15507716313004,"run000252","sim_runs/run000252/sim_2982822994491.log",510.63574108818,6.33536585365853,6460,230,40,23890,62250,341,2.72385,10.5366,0,0.276698,0.952975,4.93421,4.26796
189.064159523696,0.751585307810456,0.323083572449832,1.51121071190573,"run000253","sim_runs/run000253/sim_4331539358903.log",1449.84530956848,10.930487804878,18340,229,40,68597,164986,541,4.0404,12.1959,0,0.160919,0.437357,4.9844,4.23705
274.987785005942,1.69364513172768,0.379149728389166,1.13111624959856,"run000254","sim_runs/run000254/sim_3822261553777.log",3012.15863039399,10.3330206378987,26674,462,40,146522,366354,781,5.53453,14.0624,0,0.499639,1.11561,4.9928,4.23206
71.0406954679638,1.92154920469038,0.384301473994128,1.15059058927,"run000255","sim_runs/run000255/sim_2060312293878.log",579.456754221388,5.39643527204503,6891,243,40,27908,68880,337,5.84298,14.7855,0,0.596723,1.33643,4.89866,4.2957
252.424326715991,0.81915003429167,0.0442830845349818,1.42601552745327,"run000256","sim_runs/run000256/sim_2075482401777.log",1520.80318949343,12.2456848030019,24486,242,40,71671,191940,588,0.435873,4.3625,0,0.019067,0.177173,4.99714,4.21447
283.150635659695,1.72931520286947,0.442675165344554,1.62172948149964,"run000257","sim_runs/run000257/sim_4344929446894.log",2727.35994371482,6.86050656660413,27466,464,40,136059,341007,638,7.23726,15.6299,0,0.664236,1.25428,5.00829,4.24219
270.696649458259,1.15571513650939,0.137773126469256,1.25782861281186,"run000258","sim_runs/run000258/sim_2203513308905.log",2673.58705440901,20.5139774859287,26258,330,40,128985,318570,987,1.48729,7.88309,0,0.0900393,0.430832,5.01468,4.22523
284.260816471651,1.08521409523673,0.419285580737778,1.4458218968939,"run000259","sim_runs/run000259/sim_4245860464744.log",2580.07495309568,10.0186679174484,27574,318,40,121933,296982,699,6.15261,14.6793,0,0.352087,0.747334,4.98564,4.22126
42.8559937141836,0.532159599475563,0.150146337589831,1.35097686876543,"run000260","sim_runs/run000260/sim_4203580161569.log",-17.7760787992495,-0.64718574108818,4158,124,40,1876,4087,35,1.2928,7.03241,0,0.0364321,0.19009,5.02088,4.35638
232.692790366709,0.961592130316421,0.442209955308499,1.44197461730801,"run000261","sim_runs/run000261/sim_2091892513764.log",1969.99681050657,10.3197936210131,22572,275,40,86648,211853,609,6.473,14.9662,0,0.333091,0.682899,4.9788,4.24653
277.092976765707,0.239265164965764,0.0751003929144645,1.77233621128835,"run000262","sim_runs/run000262/sim_2904982611006.log",-68.7768292682925,0.187898686679174,26879,138,40,13464,31436,109,0.934859,5.6878,0,0.0118538,0.0645092,4.99539,4.16846
146.143666328862,1.18190223546699,0.121364750812063,1.49254413903691,"run000263","sim_runs/run000263/sim_4097063353851.log",1157.37195121951,10.6960600375234,14176,260,40,50926,124246,508,1.43645,7.91342,0,0.0895615,0.448223,4.95389,4.26638
142.139080855995,0.72405892405659,0.306909209892183,1.95303049311042,"run000264","sim_runs/run000264/sim_2444170867767.log",814.320450281426,8.69559099437148,13788,182,40,35882,90311,395,3.8849,11.8625,0,0.150152,0.417065,5.0124,4.26461
177.434910116717,1.05271242749877,0.137961497901415,1.09793978277594,"run000265","sim_runs/run000265/sim_2821972214278.log",2040.90919324578,13.7852720450281,17212,277,40,86560,213698,654,1.45702,7.97911,0,0.0805806,0.39567,4.96418,4.22341
133.931845724583,0.384945024643093,0.223450859906734,1.24935469240882,"run000266","sim_runs/run000266/sim_2018752703887.log",259.936397748593,2.14305816135085,12992,151,40,20225,50278,174,2.5311,9.56249,0,0.0500839,0.16639,5.02127,4.26707
43.9041240978986,1.00787544730119,0.160435983802017,1.78795778658241,"run000267","sim_runs/run000267/sim_2932682753676.log",90.4133208255159,1.71894934333959,4259,140,40,5146,12971,115,1.91778,9.1399,0,0.10702,0.467576,4.94322,4.28397
143.258776459843,1.63384385849349,0.15488030956476,1.08823030465282,"run000268","sim_runs/run000268/sim_4163589898423.log",1707.98630393996,10.9645403377111,13897,351,40,73598,184303,579,1.80888,8.66086,0,0.156715,0.679495,4.93257,4.20244
91.4120765868574,1.16558173247613,0.40760148857953,1.60385668161325,"run000269","sim_runs/run000269/sim_2079160101244.log",559.461350844278,5.98855534709193,8867,230,40,28278,69198,342,6.00831,14.6322,0,0.381224,0.827789,4.96488,4.32963
120.014371369034,1.7249928297475,0.201120119556435,1.76122827176005,"run000270","sim_runs/run000270/sim_3928242253542.log",835.737148217636,7.1562851782364,11642,333,40,42978,109440,423,2.75445,10.4293,0,0.25757,0.868423,4.98417,4.29029
225.891037052497,0.293218200374395,0.18091298931904,1.41731032216921,"run000271","sim_runs/run000271/sim_2939912781200.log",257.603377110694,2.1766416510319,21912,137,40,21938,57291,188,2.16064,8.59357,0,0.0336082,0.117316,4.94293,4.14033
192.472525862977,1.19204585794359,0.0962284519955574,1.08755163382739,"run000272","sim_runs/run000272/sim_2860342394122.log",2500.31378986867,15.1751407129456,18670,298,40,101961,258812,673,0.941036,6.22136,0,0.0597104,0.358178,5.01651,4.24749
233.536649839953,1.94293476645835,0.373441454565182,1.50035826303065,"run000273","sim_runs/run000273/sim_1697311146065.log",2401.79005628518,6.76622889305816,22654,502,40,117076,289668,617,5.99216,14.6583,0,0.617251,1.32545,5.00178,4.24465
273.323206361383,1.60281309070997,0.472895637416514,1.31006805878133,"run000274","sim_runs/run000274/sim_4163749898525.log",2869.85422138837,7.45422138836773,26513,415,40,133343,331863,645,7.58697,15.9145,0,0.639291,1.17264,4.99455,4.24253
132.589300042018,0.246024815738201,0.238914209810901,1.72346991021186,"run000275","sim_runs/run000275/sim_2797112093774.log",8.36988742964354,0.0984990619136957,12862,125,40,7702,18705,81,3.06428,9.81528,0,0.0414577,0.114972,4.94645,4.23189
199.656229987741,1.32257225005887,0.234302912856947,1.45584899443202,"run000276","sim_runs/run000276/sim_2150132933967.log",1163.4,-9.10000000000001,19367,334,5,22186,45410,228,3.90295,12.6354,0,0.281107,0.8228,4.97644,4.28157
222.288703164086,1.043390601594,0.320218429766101,1.45889772078954,"run000277","sim_runs/run000277/sim_2948872825053.log",1904.31435272045,10.7848030018762,21563,301,40,86577,213896,631,4.28337,12.7522,0,0.236282,0.62789,4.98099,4.22763
46.1968934256583,1.20115435058251,0.0724599979948835,1.36910992232151,"run000278","sim_runs/run000278/sim_2696601613046.log",90.7600375234521,0.941838649155723,4482,156,40,5816,15648,96,0.938607,6.86297,0,0.0634277,0.421933,4.97868,4.23579
289.20247011818,0.805961027927697,0.142556831673573,1.70823212200776,"run000279","sim_runs/run000279/sim_3832231612975.log",2259.29915572233,19.2579737335835,28053,241,40,95459,239887,877,1.63308,8.1495,0,0.0694163,0.319547,5.01955,4.26169
313.46746629104,0.897152717551217,0.350680854011443,1.36901962175034,"run000280","sim_runs/run000280/sim_2005581206108.log",2884.45891181989,15.3239212007505,30407,285,40,132865,322527,838,4.67373,12.9827,0,0.221242,0.549728,4.97435,4.20964
235.34055239521,0.786976198712364,0.104310444614384,1.96564751630649,"run000281","sim_runs/run000281/sim_2008211905244.log",1482.31801125704,14.7755159474672,22829,228,40,62515,153791,663,1.12704,6.93584,0,0.0466459,0.257965,4.94497,4.20165
156.539259525016,0.22953373095952,0.380384785101342,1.28767559840344,"run000282","sim_runs/run000282/sim_2748941852951.log",-4.88208255159478,0.30234521575985,15185,126,40,9352,20812,106,5.42413,13.0708,0,0.0665925,0.136919,5.0065,4.18135
