"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"44",404123.753616135,536658.149949778,0.515150819928287,0.44115674573652,68588.0497037508,3087.37745612405,5753.24095570048,12129.3920560679,2.84049365919657e-09,81.8649018508576,0.299172037212428,1.7881156940682,1.4479158598873
"45",388234.348368962,674494.465465789,0.567692496426946,0.371591511389101,12723.8371936888,2415.98157107045,3339.16839970149,12125.0387949617,3.13742295466832e-09,121.3678,0.135277719480872,0.8739,1.06143581594327
"46",390033.44062479,653382.830281269,0.619220170916223,0.28434261573692,20253.1321446623,4521.26944592521,5168.37076075906,12117.365431114,2.8050110536751e-09,100.501765473547,0.126,1.30130338866734,1.53044469627325
"47",401392.338022179,553313.639395863,0.474504768972137,0.481323643574081,56163.806912245,3444.23707070649,5379.93420674165,12118.6357254586,4.92030999691429e-09,81.7263086922034,0.300151109986229,1.79418354939058,1.44594936937828
"48",388675.213949274,572080.690595074,0.54424329088198,0.407015347155419,49409.9607360673,6635.54120986408,1939.74037564584,12123.0316815908,4.50559144576527e-09,75.068731378873,0.368303538281809,1.99639460253697,1.32026197685723
"49",401421.874495737,530293.478167293,0.547803694336941,0.398427865319134,70300.7858265041,8097.75678102354,9814.9665123518,12130.4683328273,4.04563329255332e-09,76.1223860907742,0.30497055329276,1.70442198173212,1.56283717483756
"50",397354.805411122,566388.714628344,0.550710783612871,0.397681593718324,56616.940335136,4721.11106529003,5357.90346874092,12128.6586278859,3.03377230884811e-09,76.122416038308,0.304970555699524,1.70442085083992,1.56283761952191
"51",413478.926293013,502281.995726791,0.495307034462546,0.461743158305382,72621.0393972909,7421.22748402193,2515.17481892757,12124.3819782284,3.4733675813882e-09,124.511850067378,0.224480766519964,0.864960330268763,1.68156295420113
"52",377307.566461888,637939.25997876,0.586329656261138,0.339755058128686,24479.3771784142,5214.93039000426,1933.58474555698,12121.5746736971,3.80909938911146e-09,78.4672321525904,0.200824234953808,1.89109653736557,1.3013000042636
"53",393839.438431587,523601.967477606,0.571720823546671,0.368597536500193,76262.9684341332,9926.21702096906,2663.55845599658,12118.8485901087,3.35969100787826e-09,98.477760943057,0.25458479224291,1.28470952560445,1.99069594578853
